Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Russian Federation,RUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Russian Federation,RUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,20.4483023068266
Russian Federation,RUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,25.5825633068107
Russian Federation,RUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,12.1
Russian Federation,RUS,"Labor force, total",SL.TLF.TOTL.IN,73401746
Russian Federation,RUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.59000015258789
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,703367841222.555
Saudi Arabia,SAU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.13767037552624
Saudi Arabia,SAU,GNI (current US$),NY.GNP.MKTP.CD,717195466666.667
Saudi Arabia,SAU,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-3.45604970681522
Saudi Arabia,SAU,Consumer price index (2010 = 100),FP.CPI.TOTL,122.479242037952
Saudi Arabia,SAU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.44545825956691
Saudi Arabia,SAU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Saudi Arabia,SAU,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,25.8936838998287
Saudi Arabia,SAU,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,26.1829049524404
Saudi Arabia,SAU,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Saudi Arabia,SAU,"Labor force, total",SL.TLF.TOTL.IN,16240076
Saudi Arabia,SAU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.65999984741211
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1276962685648.25
Spain,ESP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-11.3254383222864
Spain,ESP,GNI (current US$),NY.GNP.MKTP.CD,1280087734202.34
Spain,ESP,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-11.2641540199294
Spain,ESP,Consumer price index (2010 = 100),FP.CPI.TOTL,110.603312216661
Spain,ESP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.322753017299705
Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Spain,ESP,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,29.3432225182895
Spain,ESP,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,30.7999452588532
Spain,ESP,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,21.7
Spain,ESP,"Labor force, total",SL.TLF.TOTL.IN,22994242
Spain,ESP,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,15.5299997329712
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,739913619797.445
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.37556327967653
Switzerland,CHE,GNI (current US$),NY.GNP.MKTP.CD,725285845501.105
Switzerland,CHE,GNI growth (annual %),NY.GNP.MKTP.KD.ZG,-2.29920641598753
Switzerland,CHE,Consumer price index (2010 = 100),FP.CPI.TOTL,98.8243104053429
Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.725874933313391
Switzerland,CHE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Switzerland,CHE,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,57.8586240138035
Switzerland,CHE,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,64.3070318760151
Switzerland,CHE,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..
Switzerland,CHE,"Labor force, total",SL.TLF.TOTL.IN,4979813
Switzerland,CHE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.82000017166138
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,720289368333.191
Turkiye,TUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.9400322454902
