country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Qatar,1991,93.291,15079.3594623197,4.41729323308254,6883516483.51648,15433719501.397942,15433719501.397942,15433719501.397942,15433719501.397942,73.966,0.0,99.9999861531018,15820.4939472404
Singapore,1991,100.0,14502.3799938606,3.42570173078644,45466164978.2923,2.1800000667572,15433719501.397942,15433719501.397942,15433719501.397942,75.6463414634146,0.495509223644809,98.4536974522154,4167.36558489839
Austria,1992,62.417,24880.1641180361,4.02084780038555,195078126721.763,3.58999991416931,16709516442.275757,16709516442.275757,16709516442.275757,75.8170731707317,26.1367915752356,77.2372111742877,3245.59207592069
Brunei Darussalam,1992,67.078,15080.4142121329,1.27952755905517,4183548189.07305,16709516442.275757,16709516442.275757,16709516442.275757,16709516442.275757,72.081,0.205761341081909,99.9613748827197,7568.66943507224
Denmark,1992,84.898,29569.6603567112,2.09604442933213,152915654478.885,9.02999973297119,16709516442.275757,16709516442.275757,16709516442.275757,75.1941463414634,7.74744546702985,90.7248879782048,3561.89036947656
Finland,1992,80.128,22319.059460246,2.91932319285018,112532519246.084,11.6000003814697,16709516442.275757,16709516442.275757,16709516442.275757,75.4553658536585,25.1233985953079,53.9284913407299,5380.99306781923
"Hong Kong SAR, China",1992,99.979,17976.4293827655,9.65250965250961,104272278634.731,1.96000003814697,16709516442.275757,16709516442.275757,16709516442.275757,77.6780487804878,0.888650755560115,16709516442.275757,1831.05473666063
Iceland,1992,91.112,27124.2745379594,3.94771176824033,7080981738.05606,4.30999994277954,16709516442.275757,16709516442.275757,16709516442.275757,78.760243902439,54.6332613142616,29.7638545885607,7755.39441577893
Ireland,1992,57.293,15714.3847487231,3.06999743466961,55918538121.3989,15.0200004577637,16709516442.275757,16709516442.275757,16709516442.275757,75.4150975609756,2.15872842493715,84.5597842481418,2775.21800344534
Kuwait,1992,98.002,12253.5794437877,-0.5454712137882,19858555214.7239,16709516442.275757,16709516442.275757,16709516442.275757,16709516442.275757,75.691,0.167661774341245,99.9082869100985,5444.27270085207
Luxembourg,1992,81.528,39570.8615665986,3.15417375961793,15518702634.8808,2.02999997138977,16709516442.275757,16709516442.275757,16709516442.275757,75.7707317073171,2.01205046410623,89.3265997808035,9262.08197870848
Norway,1992,72.665,30523.9850558974,2.32808504911854,130838040067.584,5.90999984741211,16709516442.275757,16709516442.275757,16709516442.275757,77.1843902439025,61.3789638607889,53.5921364505302,5159.64861896962
Qatar,1992,93.763,16223.7800763357,3.06030603060314,7646153983.51648,16709516442.275757,16709516442.275757,16709516442.275757,16709516442.275757,74.122,0.0,99.9999867574312,16022.739569652
Singapore,1992,100.0,16135.9136525986,2.26307118702849,52130263965.6231,3.08999991416931,16709516442.275757,16709516442.275757,16709516442.275757,75.9463414634146,0.52847069042069,98.6372976128307,4588.84550645093
Austria,1993,62.144,24081.5277928004,3.63178524943182,190379720809.18,4.25,17010399843.226717,17010399843.226717,17010399843.226717,76.0682926829268,26.3578077460666,77.0111424905957,3255.78470440001
Belgium,1993,96.622,22283.9360213551,2.75442643473457,224721795708.955,8.07999992370605,17010399843.226717,17010399843.226717,17010399843.226717,76.3453658536585,0.956473287920865,75.9350151554047,4902.26997439133
Brunei Darussalam,1993,67.604,14420.5082021244,4.25170068027211,4105706151.75145,17010399843.226717,17010399843.226717,17010399843.226717,17010399843.226717,72.312,0.0,17010399843.226717,7099.2016521901
Denmark,1993,84.925,27597.9752286357,1.25785667953261,143195627014.605,10.7200002670288,17010399843.226717,17010399843.226717,17010399843.226717,75.1168292682927,7.70149659175602,91.7570149714862,3645.51534625338
Finland,1993,80.409,17608.8123902264,2.19065319556431,89214114708.0254,16.2000007629395,17010399843.226717,17010399843.226717,17010399843.226717,75.7051219512195,26.0035366744909,54.8054549714533,5617.21537795619
"Hong Kong SAR, China",1993,100.0,20395.5173666776,8.8028169014086,120353947980.764,1.96000003814697,17010399843.226717,17010399843.226717,17010399843.226717,78.0317073170732,0.898034879432228,17010399843.226717,1784.39349262837
Iceland,1993,91.287,23579.7953612417,4.04285291076943,6218581531.64347,5.26000022888184,17010399843.226717,17010399843.226717,17010399843.226717,78.9346341463415,54.6595421181759,30.0456561817863,8249.53644895251
Ireland,1993,57.512,14657.0615549805,1.46942088431732,52417477613.676,15.5699996948242,17010399843.226717,17010399843.226717,17010399843.226717,75.2921951219512,2.10704833471694,86.1556245660276,2813.7104646445
Kuwait,1993,98.016,14477.9510661167,0.382541365165906,23941391390.7285,0.800000011920929,17010399843.226717,17010399843.226717,17010399843.226717,75.794,0.0619900718879507,99.970080279164,7437.86000018142
Luxembourg,1993,81.857,40066.7242518773,3.58809818535163,15925521222.0149,2.32999992370605,17010399843.226717,17010399843.226717,17010399843.226717,75.7121951219512,1.99192920082439,89.3420930461115,9266.94257500472
New Zealand,1993,85.254,13094.3454502639,1.28820776574389,46775620817.4327,9.80000019073486,17010399843.226717,17010399843.226717,17010399843.226717,76.4341463414634,29.2485419513342,68.3079335940449,3967.87133979061
Norway,1993,73.061,27963.6652188271,2.28826933193056,120579072750.596,5.96999979019165,17010399843.226717,17010399843.226717,17010399843.226717,77.1517073170732,61.0973283838752,54.7582481527469,5459.62340830489
Qatar,1993,94.203,14724.2591753497,-0.873362445414828,7156593653.84615,17010399843.226717,17010399843.226717,17010399843.226717,17010399843.226717,74.243,0.0,99.9999872375123,16120.9918504817
Singapore,1993,100.0,18290.0282372282,2.28929964388642,60603478153.2368,3.0699999332428,17010399843.226717,17010399843.226717,17010399843.226717,76.0463414634146,0.515729258378133,98.91353109242,5487.60891524326
Sweden,1993,83.516,24425.2849281118,4.72817304626055,212953336588.123,9.32999992370605,17010399843.226717,17010399843.226717,17010399843.226717,78.0604878048781,34.3851522613377,36.8773353847276,5334.16649834761
Austria,1994,61.87,25646.7006591684,2.95340936761076,203535242741.838,3.53999996185303,18047703876.20332,18047703876.20332,18047703876.20332,76.419512195122,25.6794546459802,77.5857075750902,3234.49298510934
