country_name,Year,urbanization,gdp_per_cap,inflation,gdp_current,unemployment,literacy_adult,health_exp,literacy_youth,life_exp,re_consumption,ff_consumption,energy_use
Cote d'Ivoire,1972,29.719,309.265141809005,0.310313698883884,1849400599.77558,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,45.724,3490616767.0624237,34.6001554657735,435.632436474746
Denmark,1972,80.731,4654.29893603922,6.56236090256546,23232379951.9376,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,73.4390243902439,3490616767.0624237,99.1620377276164,3858.59212163805
Dominican Republic,1972,42.437,420.631472097978,8.64073155607573,1987400000.0,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,57.417,3490616767.0624237,54.350386942482,577.636391458603
Ecuador,1972,40.352,487.628965037949,7.88189360668076,3185987234.84089,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,58.205,3490616767.0624237,50.9908135463956,354.809807105698
"Egypt, Arab Rep.",1972,42.2,255.971413977343,2.10236334610112,9299638055.84281,1.52999997138977,3490616767.0624237,3490616767.0624237,3490616767.0624237,50.765,3490616767.0624237,87.173099394944,236.751202176623
El Salvador,1972,40.043,332.723468441796,1.53521536678879,1263720000.0,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,53.019,3490616767.0624237,30.9016502848356,493.142771837248
Finland,1972,65.366,3177.64570093734,6.66249783515333,14743186119.8738,2.42000007629395,3490616767.0624237,3490616767.0624237,3490616767.0624237,70.7073170731707,3490616767.0624237,73.0349575941369,4188.16067653277
France,1972,71.86,3865.92540043539,6.06300309718189,203494148244.473,2.76999998092651,3490616767.0624237,3490616767.0624237,3490616767.0624237,72.1073170731707,3490616767.0624237,89.7968678454631,3180.10069096997
Gabon,1972,36.231,691.814185576864,3.48709164347888,430508357.728441,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,53.605,3490616767.0624237,52.513806375436,1682.17500228993
Ghana,1972,29.392,225.528909889931,10.0671140939595,2112292944.64142,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,48.026,3490616767.0624237,21.9758079146276,338.411834696569
Greece,1972,65.454,1899.67578389335,4.33120123203346,16885511363.6364,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,72.7826829268293,3490616767.0624237,93.2623520389979,1134.78649348358
Guatemala,1972,36.177,367.118881140873,0.529703252323021,2101300000.0,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,51.638,3490616767.0624237,29.6835709450247,492.672210692309
Haiti,1972,20.323,76.6517683377508,3.18969396917933,372000000.0,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,47.945,3490616767.0624237,7.6837310139242,319.345278508637
Honduras,1972,30.246,271.648932805281,3.61228175799333,802999950.0,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,55.607,3490616767.0624237,26.8778865992807,480.569319365458
Iceland,1972,85.63,4014.84273017558,9.81132391279969,839652164.06073,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,74.4558536585366,3490616767.0624237,50.1785495199412,4403.96964669093
India,1972,20.321,122.612453445976,6.44209746158235,71463193831.0092,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,49.025,3490616767.0624237,35.2263346566754,266.505804692997
Indonesia,1972,17.779,90.5120591683994,6.5217492128302,10997590361.4458,3490616767.0624237,3490616767.0624237,3490616767.0624237,3490616767.0624237,54.242,3490616767.0624237,26.8828971107073,300.255197055212
